id,Ram,Dhananjay,Guru,Ashutosh
RobertAtkinson--VioletSyrotiuk,N,Y,Y,N
RobertAtkinson--HanghangTong,N,N,N,Y
RobertAtkinson--KurtVanLehn,Y,N,Y,N
RobertAtkinson--JReneVillalobos,N,N,N,N
RobertAtkinson--SarmaVrudhula,N,N,N,N
RobertAtkinson--ErinWalker,Y,Y,Y,N
RobertAtkinson--CaroleJeanWu,N,N,N,N
RobertAtkinson--TeresaWu,N,N,N,N
RobertAtkinson--GuoliangXue,N,N,N,N
RobertAtkinson--YezhouYang,N,N,Y,Y
RobertAtkinson--StephenSYau,N,N,N,N
JanakaBalasooriya--AjayBansal,Y,N,N,N
JanakaBalasooriya--SrividyaBansal,Y,Y,N,N
JanakaBalasooriya--ChittaBaral,N,N,N,N
JanakaBalasooriya--RidaBazzi,N,Y,Y,N
JanakaBalasooriya--HeniBenAmor,N,N,N,N
JanakaBalasooriya--NadyaBliss,N,Y,N,N
JanakaBalasooriya--KSelcukCandan,N,N,N,N
JanakaBalasooriya--YinongChen,Y,N,Y,N
JanakaBalasooriya--CharlesColbourn,N,Y,N,N
JanakaBalasooriya--JamesCollofello,N,N,N,N
JanakaBalasooriya--ParthaDasgupta,Y,Y,Y,N
JanakaBalasooriya--HasanDavulcu,N,Y,N,N
JanakaBalasooriya--AdamDoupe,N,Y,N,N
JanakaBalasooriya--GeorgiosFainekos,N,N,N,N
JanakaBalasooriya--AshrafGaffar,N,Y,N,N
JanakaBalasooriya--KevinGary,N,N,N,N
JanakaBalasooriya--EsmaGel,N,Y,N,N
JanakaBalasooriya--JavierGonzalezSanchez,N,Y,N,N
JanakaBalasooriya--SandeepGupta,Y,N,Y,N
JanakaBalasooriya--DianneHansford,N,N,N,N
JanakaBalasooriya--JingruiHe,N,N,N,N
JanakaBalasooriya--DijiangHuang,N,Y,N,Y
JanakaBalasooriya--SubbaraoKambhampati,N,Y,N,N
JanakaBalasooriya--JoohyungLee,N,Y,N,N
JanakaBalasooriya--YannHangLee,Y,Y,Y,Y
JanakaBalasooriya--BaoxinLi,N,N,N,N
JanakaBalasooriya--TimLindquist,N,N,Y,N
JanakaBalasooriya--RossMaciejewski,N,Y,N,N
JanakaBalasooriya--RyanMeuth,N,Y,N,N
JanakaBalasooriya--PituMirchandani,N,N,N,N
JanakaBalasooriya--BrianNelson,N,Y,N,N
JanakaBalasooriya--RongPan,N,N,N,N
