id,value
KSelcukCandan--RossMaciejewski,Y
KSelcukCandan--RyanMeuth,N
KSelcukCandan--PituMirchandani,N
KSelcukCandan--BrianNelson,Y
KSelcukCandan--RongPan,N
KSelcukCandan--SethuramanPanchanathan,Y
KSelcukCandan--PaoloPapotti,N
KSelcukCandan--GiuliaPedrielli,Y
KSelcukCandan--FengboRen,Y
KSelcukCandan--AndreaWRicha,Y
KSelcukCandan--GeorgeRunger,N
KSelcukCandan--HessamSarjoughian,Y
KSelcukCandan--MohamedSarwat,Y
KSelcukCandan--ArunabhaSen,N
KSelcukCandan--PauloShakarian,N
KSelcukCandan--AviralShrivastava,N
KSelcukCandan--DanShunk,N
KSelcukCandan--VioletSyrotiuk,Y
KSelcukCandan--HanghangTong,N
KSelcukCandan--KurtVanLehn,Y
KSelcukCandan--JReneVillalobos,NA
KSelcukCandan--SarmaVrudhula,N
KSelcukCandan--ErinWalker,N
KSelcukCandan--CaroleJeanWu,Y
KSelcukCandan--TeresaWu,N
KSelcukCandan--GuoliangXue,Y
KSelcukCandan--YezhouYang,N
KSelcukCandan--NongYe,Y
KSelcukCandan--StephenSYau,N
YinongChen--CharlesColbourn,Y
YinongChen--JamesCollofello,N
YinongChen--ParthaDasgupta,Y
YinongChen--HasanDavulcu,N
YinongChen--AdamDoupe,Y
YinongChen--GeorgiosFainekos,Y
YinongChen--AshrafGaffar,Y
YinongChen--KevinGary,Y
YinongChen--EsmaGel,N
YinongChen--JavierGonzalezSanchez,Y
YinongChen--SandeepGupta,Y
YinongChen--DianneHansford,N
YinongChen--JingruiHe,Y
YinongChen--DijiangHuang,Y
YinongChen--FengJu,N
YinongChen--SubbaraoKambhampati,Y
YinongChen--JoohyungLee,N
YinongChen--YannHangLee,N
YinongChen--BaoxinLi,Y
YinongChen--TimLindquist,N
YinongChen--RossMaciejewski,Y
YinongChen--RyanMeuth,N
YinongChen--PituMirchandani,Y
YinongChen--BrianNelson,Y
YinongChen--RongPan,N
YinongChen--SethuramanPanchanathan,Y
YinongChen--PaoloPapotti,N
YinongChen--GiuliaPedrielli,N
YinongChen--FengboRen,Y
YinongChen--AndreaWRicha,N
YinongChen--GeorgeRunger,N
YinongChen--HessamSarjoughian,N
YinongChen--MohamedSarwat,N
YinongChen--ArunabhaSen,N
YinongChen--PauloShakarian,Y
YinongChen--AviralShrivastava,N
YinongChen--DanShunk,N
YinongChen--VioletSyrotiuk,N
YinongChen--HanghangTong,N
YinongChen--KurtVanLehn,N
YinongChen--JReneVillalobos,NA
YinongChen--SarmaVrudhula,Y
YinongChen--ErinWalker,Y
YinongChen--CaroleJeanWu,Y
YinongChen--TeresaWu,Y
YinongChen--GuoliangXue,N
YinongChen--YezhouYang,N
YinongChen--NongYe,N
YinongChen--StephenSYau,N
CharlesColbourn--JamesCollofello,Y
CharlesColbourn--ParthaDasgupta,Y
CharlesColbourn--HasanDavulcu,Y
CharlesColbourn--AdamDoupe,Y
CharlesColbourn--GeorgiosFainekos,N
CharlesColbourn--AshrafGaffar,Y
CharlesColbourn--KevinGary,Y
CharlesColbourn--EsmaGel,N
CharlesColbourn--JavierGonzalezSanchez,N
CharlesColbourn--SandeepGupta,Y
CharlesColbourn--DianneHansford,Y
CharlesColbourn--JingruiHe,N
CharlesColbourn--DijiangHuang,Y
