"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","lsa.data.op"
"48",22257.548598604,10773.6499201983,13121.328177923,17970.6227007215,7879.4543890164,6443.76182071231,10393.4304502954,14440.2244640337,10383.2186433276,11614.065568486,11707.1685971033,6204.09599016595,9360.86545267068,12543.9496619619,11665.1313809101,13
"49",12763.4911781547,11037.6182067252,11724.1032081014,11743.6342420931,11283.5309090163,11931.9124739841,11732.6559359514,11045.4372892792,11391.5740011567,11210.5787898596,11518.8413646192,11410.6081764932,11631.0467791202,11509.2488740754,11446.6191344753,2
"50",17877.6876091855,14422.7322738494,12081.2221595746,11610.212192932,10594.915278115,12379.1911709589,11558.2062401606,11056.8999270489,11963.5858752785,10474.5573304226,9253.15622390943,11944.5589035361,11382.2284628385,11730.1206488665,11858.3499755253,2
"51",26833.1819233744,14912.6686401632,7863.82771195838,12011.1528641582,18047.4910638327,12989.9940383926,11240.5219179779,12615.0351815422,6837.00068567884,8949.37572519643,12717.3849135144,12331.1710891434,8060.73017322062,13180.4279717667,10814.3069874392,14
"52",16676.7150032809,9880.15451435949,10508.9737643328,11654.4509085054,11400.5448631814,12214.490811991,12472.7672387711,10833.4380724358,11920.1950287022,11523.1721127789,10288.9567384517,11457.1682330988,11011.5399065564,11415.8841647433,6383.57549088154,15
"53",12940.7235414245,11137.821074803,11353.0203613219,11784.7618495229,11485.1418214979,11746.6158198913,11536.9519602249,11330.8356928115,11698.8382952998,11411.490577948,11557.1540426497,11516.4319352997,11641.0545486701,11590.0597800239,11423.2327177201,2
"54",25080.6265406541,12962.4498049144,11640.14818002,17921.9683504532,5944.01507207136,9568.64156570713,12810.6948489904,10827.2039346779,12256.1564725263,9426.95114455274,15780.0393513669,16794.5063295545,11136.0065870052,10637.9949498504,11561.6564290564,16
"55",14063.4601275729,10345.0964951761,11209.9350209249,11551.0454488367,11703.9824965533,11803.5700218461,11643.9322510713,11164.3343761927,11886.9861706245,11541.3661397348,10907.2077142369,11503.4692837979,11256.8804201483,11427.0684104571,8632.62157635481,15
"56",14351.6811174882,11135.7326269331,12256.7178370154,13191.6211923929,10868.3082839932,10257.4217925877,10888.7844876149,12037.820655236,11372.558364147,11797.5691780883,11180.8467644154,10453.4017014313,10962.5974332088,12063.8890541231,11555.2007841218,2
"57",16527.7090390188,10703.9688935824,10954.4995367335,13120.5454506123,12446.4055956748,12201.5989484183,11822.3898944723,10926.9847868703,12007.8234782891,11377.0523396874,11643.2730518412,11564.9032120263,11599.0923217453,11591.4459441209,11621.8584783755,2
"58",34954.4472976677,24675.791575467,12338.5097783482,7223.73900718744,10943.0534151682,12314.9281505925,11389.8173556245,10696.2524798681,15077.9003069858,12680.6903093895,14903.7155546367,8992.78602833176,13187.2598105648,12189.4538073917,10608.8584882257,17
"59",14459.8209821235,10380.4751121874,10511.2181978639,12110.8919992427,12150.8193765111,12010.3035977452,12041.9464250362,11117.0970713401,12414.6422111954,12351.0205275331,11313.1442199493,11569.9220424008,10923.6889700144,11309.2089261244,11390.8810894981,2
"60",26171.2120300665,6470.35377257995,18148.9967652035,9284.59209255542,11516.0160884415,12812.8609034017,11210.6332383924,13469.2235727256,11676.5398194564,13154.3881693782,11790.702538346,12952.3997703598,9952.56499943311,10565.5594678552,10796.1837676932,18
