NadyaBliss,[(0, 2697.3746948107205), (1, 222.94060252504772), (2, -167.40812186487813), (3, 744.06196513519069), (4, 472.04339448357968), (5, 151.83058983308965), (6, 56.978322551028292), (7, 104.15109654201113), (8, -361.66064708066682), (9, -360.13558893414324), (10, 104.14980421056588), (11, -99.399702340446467), (12, -379.89437000884539), (13, 310.36430871348341), (14, 125.26895921249897)]
KSelcukCandan,[(0, 12310.509722413903), (1, 356.2435825754178), (2, -2274.6266499159606), (3, 863.00345403447795), (4, 3147.2033187213638), (5, -885.39690287453095), (6, -1983.9888733304731), (7, 1920.5742691961102), (8, -3766.0348965470489), (9, 142.66854372738808), (10, 380.10460703769434), (11, 259.39332096937784), (12, 3486.0270475850343), (13, -2187.3141987171025), (14, 365.47905065725575)]
YinongChen,[(0, 13288.513702962307), (1, -6009.3700135001345), (2, 7865.8383872751947), (3, -1578.142005284891), (4, -494.06700168184256), (5, 5308.8328950888772), (6, -2764.9311220311961), (7, 4300.6098884015655), (8, 265.67076973491925), (9, 796.2603880141811), (10, 1678.0116221426317), (11, 354.61795506616653), (12, -48.180049300669388), (13, 698.8293119870699), (14, 642.74374526608881)]
CharlesColbourn,[(0, 9610.0194610831641), (1, 1717.9787403997993), (2, -838.65772821273742), (3, 1096.0945060590564), (4, -1508.7548868363722), (5, 1717.7416028780428), (6, 2805.9436910402801), (7, 5372.5723712848667), (8, 2685.737287329418), (9, -4783.671883191435), (10, -4605.1236933059708), (11, 661.86676475213289), (12, 1974.336457736584), (13, 1356.981478355943), (14, 187.74631156793464)]
JamesCollofello,[(0, 2700.2999346461588), (1, -1109.9503449632159), (2, 451.51965419811427), (3, 461.7957415537864), (4, -467.19536529971657), (5, 736.5406260573136), (6, 162.59160135360526), (7, -263.38989981379956), (8, -98.504280929501135), (9, -521.62045807902916), (10, -214.78701344926864), (11, -226.61807012306369), (12, 56.981335839007528), (13, 43.219771512535736), (14, -587.3682856929338)]
ParthaDasgupta,[(0, 4570.4606095291701), (1, -935.15726421807005), (2, 1416.502374562582), (3, 67.216030156299354), (4, -164.32743723475789), (5, -858.51339776374653), (6, 17.340385829139731), (7, 178.65518406408273), (8, -33.638871035284353), (9, 555.3613612382843), (10, -758.88895735294273), (11, -681.37368318832421), (12, -516.31550161814732), (13, -771.79316647409371), (14, -354.65876651915988)]
HasanDavulcu,[(0, 4705.5791233690161), (1, -755.08234002899906), (2, -590.65153257438226), (3, -4.5540050834133199), (4, 1175.8869072926157), (5, 165.25695345525131), (6, 231.66282651704077), (7, 327.45204775722709), (8, -605.39479505713439), (9, 345.66094263583517), (10, 295.28325345142582), (11, -57.786245313247662), (12, 436.37454985844801), (13, -205.22160416956794), (14, -122.07363830936836)]
AdamDoupe,[(0, 2637.4999144848525), (1, -888.96145834848801), (2, 613.94508007038746), (3, -353.58499982614842), (4, 282.67837537299033), (5, -650.78207683667415), (6, 117.80795711526748), (7, 241.36354786381119), (8, 108.6479498151994), (9, -78.292971892409724), (10, -200.95846611349171), (11, -111.794421580837), (12, -326.28084316824237), (13, 160.8240138006974), (14, -37.92775864360739)]
GeorgiosFainekos,[(0, 5845.9583058380895), (1, -1033.6761578506744), (2, -607.99851181534791), (3, -164.92603682652052), (4, -1574.8446562018482), (5, 519.30581873299627), (6, 1176.6448725331616), (7, -231.4168670200747), (8, 183.75486939923206), (9, -121.0639235898315), (10, 461.05865174570766), (11, -387.36210067647079), (12, 356.82568724655079), (13, -932.19994699046106), (14, -171.39260383937818)]
AshrafGaffar,[(0, 824.11380104731973), (1, -363.71379359640082), (2, 70.27482105205992), (3, 76.316267071115291), (4, 44.952743261957494), (5, 118.10177809742639), (6, 78.711283145920902), (7, -154.01614690446081), (8, -2.9014638748074373), (9, -157.79071928657405), (10, -27.887777210481033), (11, -30.890289658121169), (12, 62.409780103420367), (13, -5.623224062781409), (14, -165.87475858602946)]
